,human,mouse,common
184,BCL3,ZFP35,
185,BHLHE40,KLF11,
186,KLF4,NFIC,
187,NFIL3,SP3,
188,IRF1,X1810024B03RIK,
189,CEBPB,RFXANK,
190,ZMIZ1,ATF2,
191,ELK3,MTA3,
192,STAT2,TGIF2,
193,IRF8,ZFP523,
194,ETS2,POLR3A,
195,FOSL2,ARID3A,
196,RUNX3,MGA,
197,POLR3A,ZBTB11,
198,MTA3,HINFP,
199,MAFF,ATF6,
200,MAFB,SRF,
201,JUNB,HSF1,
202,FOSL1,TRIM33,
203,FOSB,,
204,ATF3,,
205,JUN,,
206,FOS,,
207,TFEB,,
208,RELB,,
209,RUNX2,,
210,TCF4,,
211,MEF2A,,
212,POU2F2,,
213,AR,,
214,SOX4,,
215,MEF2C,,
216,NFKB1,,
217,ZNF768,,
218,TCF7,,
219,PBX1,,
220,TCF12,,
221,THRB,,
222,FOXN3,,
223,RARB,,
224,IKZF1,,
225,HOXA9,,
226,REL,,
227,TBP,,
228,PBX3,,
229,RORA,,
230,ZNF76,,
231,PPARD,,
232,ETV2,,
233,MYBL1,,
234,FOXJ3,,
235,SMAD1,,
236,ZNF426,,
237,POU5F1,,
238,RBBP5,,
239,NR2C1,,
240,ATF6B,,
241,PPARA,,
242,NR1H2,,
243,ZNF16,,
244,ZFP64,,
245,ZFY,,
246,SMAD9,,
247,ZNF431,,
248,ZEB1,,
249,RFX3,,
250,ZHX3,,
251,RREB1,,
252,CLOCK,,
253,CRX,,
254,MGA,,
255,CREB5,,
256,ZNF502,,
257,NR1H3,,
258,DBP,,
259,MEIS1,,
260,RFX8,,
261,SMAD5,,
262,HIVEP2,,
263,ETV3,,
264,ZNF69,,
265,TGIF1,,
266,TFAP4,,
267,ZNF217,,
268,CEBPG,,
269,ZNF91,,
270,NR6A1,,
271,NFATC2,,
272,ZNF317,,
273,ZNF230,,
274,SMAD6,,
275,CREB3,,
276,TGIF2,,
277,ZNF639,,
278,ZNF140,,
279,ZNF35,,
280,HSF2,,
281,ZNF846,,
282,ZNF821,,
283,NFE2L3,,
284,ZNF711,,
285,PATZ1,,
286,SOX12,,
287,FOXP4,,
288,RXRB,,
289,ZNF33A,,
290,NR2F6,,
291,ZNF584,,
292,HOXA10,,
293,CXXC1,,
294,POLE4,,
295,ZNF429,,
296,ATF7,,
297,POLR3G,,
298,ZNF324,,
299,POU2AF1,,
300,EBF1,,
301,TP63,,
302,NR4A1,,
303,TCF7L2,,
304,HIC1,,
305,STAT6,,
306,CREM,,
307,SNAI1,,
308,RARA,,
309,RARG,,
310,KLF5,,
311,HOXA5,,
312,TRPS1,,
313,EGR3,,
314,CPEB1,,
